REGIONC,DIVISION,METROMICRO,UATYP10,TYPEHUQ,CELLAR,BASEFIN,ATTIC,ATTICFIN,STORIES,PRKGPLC1,KOWNRENT,YEARMADERANGE,TOTROOMS,NCOMBATH,NHAFBATH,WALLTYPE,ROOFTYPE,DRAFTY,RECBATH,MONTUB,TVCOLOR,TVSIZE1,TVONWD1,TVONWE1,FUELHEAT,TEMPHOME,TEMPGONE,TEMPNITE,MOISTURE,USEMOISTURE,AIRCOND,COOLTYPE,AGECENAC,TEMPHOMEAC,TEMPGONEAC,TEMPNITEAC,BASECOOL,ATTCCOOL,GARGCOOL,NUMCFAN,NOTMOIST,HHSEX,HHAGE,EMPLOYHH,EDUCATION,NUMADULT,NUMCHILD,ATHOME,MONEYPY,ENERGYASST,CDD65,CLIMATE_REGION_PUB,HDD65,KWH,KWHTV1,KWHHTBPMP,KWHHTBHEAT,DOLLAREL,DOLELTV1,DOLELHTBPMP,DOLELHTBHEAT,CUFEETNG,DOLLARNG,GALLONLP,GALLONFO,TOTALDOL,WOODAMT
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,2000 to 2009,7,2,1,Stucco,Ceramic or clay tiles,Never,No,NA,2,40 to 59 inches,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,69,69,60,No,NA,Yes,Central air conditioning system,10 to 14 years old,78,80,80,Not applicable,Not applicable,No,5,No,Male,42,Employed full-time,High school diploma or GED,2,2,0,"$140,000 or more",No,1768,Hot-Dry/Mixed-Dry,2031,5270.742,115.22,0,0,967.23,21.07,0,0,299.946,438.87,0,0,1406.1,NA
South,West South Atlantic,NONE,R,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Owned or being bought by someone in your household,1980 to 1989,4,1,0,Siding,Metal,Never,No,NA,2,28 to 39 inches,More than 10 hours,More than 10 hours,Electricity,75,70,72,Yes,1,Yes,Individual window/wall or portable units,Not applicable,76,80,74,Not applicable,Not applicable,Not applicable,3,No,Female,60,Employed part-time,High school diploma or GED,2,0,1,"$20,000 - $39,999",No,2795,Hot-Humid,1915,12173,303.136,0,0,1366,34.02,0,0,0,0,0,0,1366,NA
South,East South Atlantic,METRO,U,Single-family detached house,Yes,Yes,No,Not applicable,One story,No,Owned or being bought by someone in your household,1970 to 1979,9,2,0,Wood,Shingles (composition or asphalt),Some of the time,No,NA,4,28 to 39 inches,7 to 10 hours,7 to 10 hours,Natural gas from underground pipes,70,70,68,No,NA,Yes,Both a central system and individual units,15 to 19 years old,75,85,75,Yes,Not applicable,Not applicable,7,No,Female,73,Employed full-time,Less than high school diploma or GED,3,1,5,"$20,000 - $39,999",No,2235,Mixed-Humid,2263,19655.394,297.742,0,0,2428.08,36.78,0,0,294.42,400.76,0,0,2828.84,NA
Midwest,West North Central,MICRO,C,Single-family detached house,Yes,Yes,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1950 to 1959,7,2,0,Siding,Shingles (composition or asphalt),Never,No,NA,5,40 to 59 inches,1 to 3 hours,Less than 1 hour,Propane (bottled gas),68,65,65,No,NA,Yes,Central air conditioning system,5 to 9 years old,76,85,72,Yes,Not applicable,No,9,No,Female,69,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",1,0,3,"$40,000 - $59,999",No,1374,Mixed-Humid,3754,9852.535,65.107,0,0,1313.12,8.68,0,0,0,0,609.498,0,2102.98,NA
Northeast,Middle Atlantic,METRO,U,Single-family detached house,Yes,No,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,1970 to 1979,6,2,0,Brick,Shingles (composition or asphalt),Never,No,NA,5,28 to 39 inches,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,68,62,66,No,NA,Yes,Central air conditioning system,5 to 9 years old,72,78,70,No,No,No,2,Yes,Male,51,Employed full-time,High school diploma or GED,2,1,0,"$40,000 - $59,999",No,993,Cold/Very Cold,5401,3115.655,50.996,0,0,581.07,9.51,0,0,252.37,329.82,0,0,910.89,NA
Northeast,New England,NONE,C,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1980 to 1989,1,1,0,Siding,Not applicable,Never,No,NA,1,28 to 39 inches,4 to 6 hours,4 to 6 hours,Propane (bottled gas),70,66,70,No,NA,Yes,Individual window/wall or portable units,Not applicable,60,66,55,Not applicable,Not applicable,Not applicable,0,No,Male,33,Not employed/retired,Less than high school diploma or GED,1,0,3,"Less than $20,000",No,408,Cold/Very Cold,7597,2777,117.668,0,0,494,20.93,0,0,0,0,227.947,0,1039.99,NA
South,South Atlantic,METRO,U,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1960 to 1969,4,1,0,Brick,Shingles (composition or asphalt),Never,No,NA,1,27 inches or less,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,73,70,72,No,NA,Yes,Central air conditioning system,10 to 14 years old,72,75,73,Not applicable,Not applicable,Not applicable,2,No,Male,53,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,0,"$60,000 to $79,999",No,2582,Hot-Humid,1579,2397.758,36.174,0,0,371.61,5.61,0,0,432.74,643.57,0,0,1015.17,NA
Midwest,East North Central,METRO,R,Single-family detached house,Yes,Yes,Yes,Yes,One story,Yes,Owned or being bought by someone in your household,1970 to 1979,5,1,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,2,40 to 59 inches,7 to 10 hours,7 to 10 hours,Natural gas from underground pipes,66,62,64,No,NA,Yes,Individual window/wall or portable units,Not applicable,74,78,74,No,No,No,3,Yes,Female,67,Not employed/retired,High school diploma or GED,2,0,5,"$40,000 - $59,999",Yes,673,Cold/Very Cold,6560,13890.899,324.761,0,0,1737.17,40.56,0,0,824.741,646.91,0,0,2384.08,NA
Northeast,Middle Atlantic,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,1980 to 1989,9,2,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,5,40 to 59 inches,7 to 10 hours,More than 10 hours,Fuel oil/kerosene,70,70,70,No,NA,Yes,Central air conditioning system,5 to 9 years old,72,72,72,Not applicable,Not applicable,No,2,No,Female,56,Employed full-time,Some college or Associate’s degree,4,0,5,"$80,000 to $99,999",No,1083,Cold/Very Cold,5301,10422.424,372.146,0,0,1531.91,54.7,0,0,0,0,0,422.853,2484.96,NA
South,West South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Rented,1950 to 1959,6,2,0,Brick,Shingles (composition or asphalt),Some of the time,No,NA,3,40 to 59 inches,4 to 6 hours,4 to 6 hours,Electricity,70,70,65,No,NA,Yes,Central air conditioning system,15 to 19 years old,67,70,65,Not applicable,No,No,4,No,Female,48,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,2,5,"$100,000 to $119,999",No,3390,Hot-Humid,1400,18505.802,189.129,0,0,1973.72,20.15,0,0,0,0,0,0,1973.72,NA
